data:984.50,985.32,242.15,235.17
data:984.48,985.32,242.33,235.17
data:984.51,985.34,242.07,235.00
data:984.50,985.34,242.15,235.00
data:984.51,985.34,242.07,235.00
data:984.51,985.29,242.07,235.42
data:984.52,985.29,241.98,235.42
data:984.52,985.40,241.98,234.49
data:984.52,985.45,241.98,234.06
data:984.50,985.45,242.15,234.06
data:984.51,985.29,242.07,235.42
data:984.50,985.29,242.15,235.42
data:984.52,985.24,241.98,235.85
data:984.50,985.42,242.15,234.32
data:984.49,985.42,242.24,234.32
data:984.51,985.26,242.07,235.68
data:984.49,985.26,242.24,235.68
data:984.49,985.34,242.24,235.00
data:984.50,985.26,242.15,235.68
data:984.52,985.26,241.98,235.68
data:984.49,985.37,242.24,234.74
data:984.53,985.37,241.90,234.74
data:984.50,985.34,242.15,235.00
data:984.50,985.40,242.15,234.49
data:984.49,985.40,242.24,234.49
data:984.49,985.32,242.24,235.17
data:984.51,985.32,242.07,235.17
data:984.49,985.32,242.24,235.17
data:984.51,985.34,242.07,235.00
data:984.50,985.34,242.15,235.00
data:984.51,985.34,242.07,235.00
data:984.50,985.34,242.15,235.00
data:984.52,985.31,241.98,235.25
data:984.53,985.34,241.90,235.00
data:984.50,985.34,242.15,235.00
data:984.51,985.34,242.07,235.00
data:984.50,985.34,242.15,235.00
data:984.52,985.34,241.98,235.00
data:984.50,985.39,242.15,234.57
data:984.51,985.39,242.07,234.57
data:984.49,985.33,242.24,235.08
data:984.51,985.33,242.07,235.08
data:984.51,985.39,242.07,234.57
data:984.50,985.33,242.15,235.08
data:984.49,985.33,242.24,235.08
data:984.50,985.31,242.15,235.25
data:984.51,985.31,242.07,235.25
data:984.49,985.41,242.24,234.40
data:984.50,985.36,242.15,234.83
data:984.52,985.36,241.98,234.83
data:984.50,985.39,242.15,234.57
data:984.54,985.39,241.81,234.57
data:984.53,985.33,241.90,235.08
data:984.50,985.28,242.15,235.51
data:984.51,985.28,242.07,235.51
data:984.53,985.52,241.90,233.47
data:984.51,985.52,242.07,233.47
data:984.49,985.36,242.24,234.83
data:984.51,985.39,242.07,234.57
data:984.50,985.39,242.15,234.57
data:984.49,985.31,242.24,235.25
data:984.50,985.31,242.15,235.25
data:984.49,985.39,242.24,234.57
data:984.51,985.44,242.07,234.15
data:984.50,985.44,242.15,234.15
data:984.48,985.39,242.33,234.57
data:984.52,985.39,241.98,234.57
data:984.53,985.39,241.90,234.57
data:984.51,985.33,242.07,235.08
data:984.50,985.33,242.15,235.08
data:984.53,985.36,241.90,234.83
data:984.52,985.36,241.98,234.83
data:984.52,985.39,241.98,234.57
data:984.52,985.41,241.98,234.40
data:984.51,985.41,242.07,234.40
data:984.52,985.41,241.98,234.40
data:984.52,985.41,241.98,234.40
data:984.54,985.39,241.81,234.57
data:984.52,985.39,241.98,234.57
data:984.51,985.39,242.07,234.57
